firstName,lastName,teams,primaryTeam,position,nationality,race,yearsActive,batHand,throwHand,awards,birthDay,deathDay,realName,nickNames,yearInducted,commentOne,commentTwo
Jeff,Bagwell,"[""Houston Astros""]","[""Houston Astros""]",First Baseman,American,Caucasian,1991–2005,"[""Right""]","[""Right""]","[""1994 NL MVP"", ""1991 NL Rookie of the Year"", ""4× All-Star"", ""3× Silver Slugger"", ""Gold Glove (1994)""]",5/27/1968,,Jeffrey Robert Bagwell,Bags,2017,One of the greatest players in Astros history with 449 home runs.,Known for his unique batting stance and powerful offensive production.
Harold,Baines,"[""Chicago White Sox"", ""Baltimore Orioles"", ""Oakland Athletics"", ""Cleveland Indians"", ""Texas Rangers""]","[""Chicago White Sox""]",Right Fielder / Designated Hitter,American,African American,1980–2001,"[""Left""]","[""Left""]","[""6× All-Star"", ""Silver Slugger (1989)""]",3/15/1959,,Harold Douglas Baines,,2019,"A consistent hitter with 2,866 career hits and over 1,600 RBIs.",Inducted via the Today's Game Era Committee for his long-standing contributions to the game.
Frank,Baker,"[""Philadelphia Athletics"", ""New York Yankees""]","[""Philadelphia Athletics""]",Third Baseman,American,Caucasian,1908–1922,"[""Left""]","[""Right""]","[""3× World Series Champion (1910, 1911, 1913)"", ""4× AL Home Run Leader""]",3/13/1886,6/28/1963,John Franklin Baker,Home Run Baker,1955,Earned the nickname 'Home Run Baker' for his slugging prowess in the Deadball Era.,Key player on Connie Mack's powerhouse Athletics teams.
Dave,Bancroft,"[""Philadelphia Phillies"", ""New York Giants"", ""Boston Braves"", ""Brooklyn Robins""]","[""New York Giants""]",Shortstop,American,Caucasian,1915–1930,"[""Switch""]","[""Right""]","[""2× World Series Champion (1921, 1922)""]",4/20/1891,10/9/1972,David James Bancroft,Beauty,1971,Known for outstanding defense and leadership at shortstop.,Played key roles in John McGraw's New York Giants championship teams.
Ernie,Banks,"[""Chicago Cubs""]","[""Chicago Cubs""]",Shortstop / First Baseman,American,African American,1953–1971,"[""Right""]","[""Right""]","[""14× All-Star"", ""2× NL MVP (1958, 1959)"", ""Gold Glove (1960)""]",1/31/1931,1/23/2015,Ernest Banks,Mr. Cub,1977,One of the most beloved players in Cubs history with 512 home runs.,Famous for his phrase: 'Let's play two!' celebrating his love for the game.
Al,Barlick,[],[],Umpire,American,Caucasian,1940–1971 (National League Umpire),[],[],"[""7 World Series assignments"", ""7 All-Star Game assignments""]",4/2/1915,12/27/1995,Albert Joseph Barlick,,1989,Respected National League umpire known for fairness and authority.,Worked in MLB for over 30 years and influenced generations of umpires.
Ed,Barrow,"[""Boston Red Sox"", ""New York Yankees""]","[""New York Yankees""]",Executive / Manager,American,Caucasian,"1910s–1940s (Executive, Manager)",[],[],"[""Oversaw Yankees' first great dynasty"", ""Credited with moving Babe Ruth to the outfield""]",5/10/1868,12/15/1953,Edward Grant Barrow,,1953,"As Yankees' general manager, built the foundation of the franchise's dominance.",Managed Red Sox to 1918 World Series before joining Yankees front office.
Jake,Beckley,"[""Pittsburgh Alleghenys"", ""Pittsburgh Pirates"", ""New York Giants"", ""Cincinnati Reds"", ""St. Louis Cardinals""]","[""Pittsburgh Pirates""]",First Baseman,American,Caucasian,1888–1907,"[""Left""]","[""Left""]",[],8/4/1867,6/25/1918,Jacob Peter Beckley,Eagle Eye,1971,"Collected over 2,900 career hits, ranking among 19th-century baseball's top hitters.",Remembered for consistency and longevity during baseball's early professional era.
CoolPapa,Bell,"[""St. Louis Stars"", ""Pittsburgh Crawfords"", ""Homestead Grays"", ""Kansas City Monarchs""]","[""Pittsburgh Crawfords""]",Center Fielder,American,African American,1922–1946 (Negro Leagues),"[""Left""]","[""Left""]","[""Negro League World Series Champion"", ""Considered the fastest man ever to play professional baseball""]",5/17/1903,3/7/1991,James Thomas Bell,Cool Papa,1974,Legendary speedster of the Negro Leagues; could round the bases in record time.,Famous for the line: 'He was so fast he could turn off the light and be in bed before the room got dark.'
Adrian,Beltré,"[""Los Angeles Dodgers"", ""Seattle Mariners"", ""Boston Red Sox"", ""Texas Rangers""]","[""Texas Rangers""]",Third Baseman,Dominican,Latino,1998–2018,"[""Right""]","[""Right""]","[""4× All-Star"", ""5× Gold Glove"", ""4× Silver Slugger"", ""3,166 career hits""]",4/7/1979,,Adrián Beltré Pérez,,2024,One of the greatest defensive and offensive third basemen in MLB history.,Beloved for his playful personality and legendary career longevity.
Johnny,Bench,"[""Cincinnati Reds""]","[""Cincinnati Reds""]",Catcher,American,Caucasian,1967–1983,"[""Right""]","[""Right""]","[""14× All-Star"", ""2× NL MVP (1970, 1972)"", ""10× Gold Glove"", ""2× World Series Champion (1975, 1976)"", ""World Series MVP (1976)""]",12/7/1947,,Johnny Lee Bench,,1989,Widely regarded as the greatest catcher in baseball history.,Core member of Cincinnati's 'Big Red Machine' dynasty.
Charles,Bender,"[""Philadelphia Athletics"", ""Baltimore Terrapins"", ""Philadelphia Phillies""]","[""Philadelphia Athletics""]",Pitcher,American,Native American (Ojibwe),1903–1917,"[""Right""]","[""Right""]","[""3× World Series Champion (1910, 1911, 1913)""]",5/5/1884,5/22/1954,Charles Albert Bender,Chief,1953,"One of the early great pitchers, known for intelligence and poise under pressure.",First Native American star in Major League Baseball.
Yogi,Berra,"[""New York Yankees"", ""New York Mets""]","[""New York Yankees""]",Catcher,American,Caucasian,1946–1965,"[""Left""]","[""Right""]","[""18× All-Star"", ""3× AL MVP (1951, 1954, 1955)"", ""10× World Series Champion""]",5/12/1925,9/22/2015,Lawrence Peter Berra,Yogi,1972,One of the most decorated champions in sports history.,Famous for both his play and his timeless 'Yogi-isms' quotes.
Craig,Biggio,"[""Houston Astros""]","[""Houston Astros""]",Second Baseman / Catcher / Outfielder,American,Caucasian,1988–2007,"[""Right""]","[""Right""]","[""7× All-Star"", ""4× Gold Glove"", ""5× Silver Slugger"", ""3,060 career hits""]",12/14/1965,,Craig Alan Biggio,,2015,"One of the best all-around players of his era, all with the Astros.","Known for versatility, hustle, and leadership."
Bert,Blyleven,"[""Minnesota Twins"", ""Texas Rangers"", ""Pittsburgh Pirates"", ""Cleveland Indians"", ""California Angels""]","[""Minnesota Twins""]",Pitcher,Dutch-American,Caucasian,1970–1992,"[""Right""]","[""Right""]","[""2× World Series Champion (1979, 1987)"", ""287 career wins"", ""3,701 strikeouts (5th all-time)""]",4/6/1951,,Rik Aalbert Blyleven,Bert,2011,Renowned for his devastating curveball and longevity.,Became a beloved broadcaster after his playing career.
Wade,Boggs,"[""Boston Red Sox"", ""New York Yankees"", ""Tampa Bay Devil Rays""]","[""Boston Red Sox""]",Third Baseman,American,Caucasian,1982–1999,"[""Left""]","[""Right""]","[""12× All-Star"", ""8× Silver Slugger"", ""2× Gold Glove"", ""1996 World Series Champion"", ""5× AL Batting Champion""]",6/15/1958,,Wade Anthony Boggs,Mr. Wade Boggs!!!,2005,"One of baseball's greatest contact hitters with 3,010 career hits.",Known for his meticulous routine and legendary batting eye.
Jim,Bottomley,"[""St. Louis Cardinals"", ""Cincinnati Reds"", ""St. Louis Browns""]","[""St. Louis Cardinals""]",First Baseman,American,Caucasian,1922–1937,"[""Left""]","[""Right""]","[""1928 NL MVP"", ""World Series Champion (1926)""]",4/23/1900,12/11/1959,James Leroy Bottomley,Sunny Jim,1974,Power-hitting first baseman known for his cheerful personality.,"Drove in over 1,400 runs with a career .310 batting average."
Lou,Boudreau,"[""Cleveland Indians"", ""Boston Red Sox""]","[""Cleveland Indians""]",Shortstop / Manager,American,Caucasian,1938–1952,"[""Right""]","[""Right""]","[""1948 AL MVP"", ""8× All-Star"", ""1948 World Series Champion""]",7/17/1917,8/10/2001,Louis Boudreau,,1970,Player-manager who led the Indians to their last World Series title in 1948.,Revolutionized infield positioning with defensive shifts.
Roger,Bresnahan,"[""Washington Senators"", ""Chicago Orphans"", ""Baltimore Orioles (NL)"", ""New York Giants"", ""St. Louis Cardinals""]","[""New York Giants""]",Catcher / Utility,American,Caucasian,1897–1915,"[""Right""]","[""Right""]",[],6/11/1879,12/4/1944,Roger Philip Bresnahan,The Duke of Tralee,1945,Pioneered the use of protective catcher's gear including shin guards.,Versatile athlete who played multiple positions in the early game.
George,Brett,"[""Kansas City Royals""]","[""Kansas City Royals""]",Third Baseman,American,Caucasian,1973–1993,"[""Left""]","[""Right""]","[""13× All-Star"", ""1980 AL MVP"", ""3× AL Batting Champion"", ""1985 World Series Champion"", ""Gold Glove""]",5/15/1953,,George Howard Brett,,1999,"One of the greatest third basemen of all time with over 3,000 hits.",Iconic figure in Royals history and the famous 'Pine Tar Incident.'
Lou,Brock,"[""Chicago Cubs"", ""St. Louis Cardinals""]","[""St. Louis Cardinals""]",Left Fielder,American,African American,1961–1979,"[""Left""]","[""Left""]","[""6× All-Star"", ""2× World Series Champion (1964, 1967)"", ""Stolen Base Leader (8 times)""]",6/18/1939,9/6/2020,Louis Clark Brock,,1985,One of the greatest base stealers in MLB history with 938 stolen bases.,Played a key role in the Cardinals' championship teams of the 1960s.
Dan,Brouthers,"[""Buffalo Bisons"", ""Detroit Wolverines"", ""Boston Beaneaters"", ""Brooklyn Grooms"", ""Baltimore Orioles"", ""New York Giants""]","[""Buffalo Bisons""]",First Baseman,American,Caucasian,1879–1904,"[""Left""]","[""Left""]","[""5× Batting Champion""]",5/8/1858,8/2/1932,Dennis Joseph Brouthers,Big Dan,1945,One of the most dominant hitters of the 19th century.,Led the league in batting average and slugging multiple times.
Mordecai,Brown,"[""St. Louis Cardinals"", ""Chicago Cubs"", ""Cincinnati Reds"", ""Brooklyn Tip-Tops""]","[""Chicago Cubs""]",Pitcher,American,Caucasian,1903–1916,"[""Both""]","[""Right""]","[""2× World Series Champion (1907, 1908)""]",10/19/1876,2/14/1948,Mordecai Peter Centennial Brown,Three Finger,1949,Hall of Fame pitcher known for his devastating curveball.,"Lost fingers in childhood accident, which helped create unique spin."
Ray,Brown,"[""Homestead Grays""]","[""Homestead Grays""]",Pitcher,American,African American,1930s–1940s (Negro Leagues),"[""Both""]","[""Right""]","[""Negro World Series Champion"", ""Multiple All-Star selections""]",2/23/1908,2/8/1965,Raymond Brown,,2006,Ace of the Homestead Grays during their dynasty years.,Dominant pitcher in Negro League history with multiple no-hitters.
Willard,Brown,"[""Kansas City Monarchs"", ""St. Louis Browns""]","[""Kansas City Monarchs""]",Outfielder,American,African American,"1930s–1950s (Negro Leagues, MLB briefly)","[""Right""]","[""Right""]","[""Negro Leagues Champion"", ""One of the first Black players in American League history""]",6/26/1915,8/4/1996,Willard Jessie Brown,Home Run Brown,2006,Power-hitting Negro Leagues star known for towering home runs.,Briefly played in MLB before returning to Negro Leagues stardom.
Morgan,Bulkeley,[],[],Executive / Administrator,American,Caucasian,1882–1907 (Baseball Executive),[],[],[],12/26/1837,11/6/1922,Morgan Gardner Bulkeley,,1937,First president of the National League in 1876.,Pioneering figure in baseball's organizational development.
Jim,Bunning,"[""Detroit Tigers"", ""Philadelphia Phillies"", ""Pittsburgh Pirates"", ""Los Angeles Dodgers""]","[""Philadelphia Phillies""]",Pitcher,American,Caucasian,1955–1971,"[""Right""]","[""Right""]","[""7× All-Star"", ""Perfect Game (1964)""]",10/23/1931,5/26/2017,James Paul David Bunning,,1996,One of only a few pitchers to throw both a no-hitter and a perfect game.,Later served as a U.S. Senator from Kentucky.
Jesse,Burkett,"[""Cleveland Spiders"", ""St. Louis Perfectos/Cardinals"", ""St. Louis Browns"", ""Boston Americans""]","[""Cleveland Spiders""]",Left Fielder,American,Caucasian,1890–1905,"[""Left""]","[""Left""]","[""3× Batting Champion""]",12/4/1868,5/27/1953,Jesse Clement Burkett,The Crab,1946,Hit over .400 twice and finished with a .338 career average.,Known for fiery competitiveness and superb hitting in the Deadball Era.
Roy,Campanella,"[""Brooklyn Dodgers""]","[""Brooklyn Dodgers""]",Catcher,American,African American,"1948–1957 (MLB), Negro Leagues prior","[""Right""]","[""Right""]","[""8× All-Star"", ""3× National League MVP (1951, 1953, 1955)"", ""World Series Champion (1955)""]",11/19/1921,6/26/1993,Roy Campanella,Campy,1969,Trailblazing catcher whose career was cut short by a tragic car accident.,One of the greatest catchers in baseball history and a key figure in integration.
Rod,Carew,"[""Minnesota Twins"", ""California Angels""]","[""Minnesota Twins""]",First Baseman / Second Baseman,Panamanian-American,Latino,1967–1985,"[""Left""]","[""Right""]","[""18× All-Star"", ""1977 AL MVP"", ""7× AL Batting Champion"", ""3,053 career hits""]",10/1/1945,,Rodney Cline Carew,,1991,One of the purest hitters in baseball history.,Renowned for consistency and batting titles during a two-decade career.
Max,Carey,"[""Pittsburgh Pirates"", ""Brooklyn Robins""]","[""Pittsburgh Pirates""]",Outfielder,American,Caucasian,1910–1929,"[""Switch""]","[""Right""]","[""World Series Champion (1925)"", ""Ten-time NL Stolen Base Leader""]",1/11/1890,5/30/1976,Maximillian George Carnarius,,1961,Known for his exceptional speed and base stealing dominance.,Led the National League in steals more than any other player of his time.
Steve,Carlton,"[""St. Louis Cardinals"", ""Philadelphia Phillies"", ""San Francisco Giants"", ""Chicago White Sox"", ""Cleveland Indians"", ""Minnesota Twins""]","[""Philadelphia Phillies""]",Pitcher,American,Caucasian,1965–1988,"[""Left""]","[""Left""]","[""10× All-Star"", ""4× Cy Young Award Winner"", ""1980 World Series Champion"", ""329 career wins""]",12/22/1944,,Steven Norman Carlton,Lefty,1994,Dominant left-hander with one of the most devastating sliders in MLB history.,"Pitched over 5,000 innings and helped lead Phillies to their first title."
Gary,Carter,"[""Montreal Expos"", ""New York Mets"", ""San Francisco Giants"", ""Los Angeles Dodgers""]","[""Montreal Expos""]",Catcher,American,Caucasian,1974–1992,"[""Right""]","[""Right""]","[""11× All-Star"", ""3× Gold Glove"", ""5× Silver Slugger"", ""1986 World Series Champion""]",4/8/1954,2/16/2012,Gary Edmund Carter,The Kid,2003,"Beloved for his enthusiasm, leadership, and clutch hitting.",Key figure in Mets' 1986 championship and longtime Expos icon.
Alexander,Cartwright,[],[],Founder / Pioneer,American,Caucasian,1840s (Baseball Pioneer),[],[],[],4/17/1820,7/12/1892,Alexander Joy Cartwright Jr.,,1938,Considered one of the founding fathers of modern baseball rules.,Helped establish the Knickerbocker Base Ball Club and the diamond field layout.
Orlando,Cepeda,"[""San Francisco Giants"", ""St. Louis Cardinals"", ""Atlanta Braves"", ""Oakland Athletics"", ""Boston Red Sox"", ""Kansas City Royals""]","[""San Francisco Giants""]",First Baseman,Puerto Rican,Latino,1958–1974,"[""Right""]","[""Right""]","[""7× All-Star"", ""1967 NL MVP"", ""1967 World Series Champion"", ""NL Rookie of the Year (1958)""]",9/17/1937,,Orlando Manuel Cepeda Pennes,Baby Bull,1999,One of Puerto Rico's most iconic baseball legends.,Beloved for power hitting and key role in Cardinals' title run.
Henry,Chadwick,[],[],Journalist / Statistician,British-American,Caucasian,1850s–1908,[],[],[],10/5/1824,4/20/1908,Henry Chadwick,Father of Baseball,1938,"Pioneered the baseball box score, batting average, and statistics.",Credited with shaping how baseball has been recorded and remembered.
Frank,Chance,"[""Chicago Cubs"", ""New York Yankees""]","[""Chicago Cubs""]",First Baseman / Manager,American,Caucasian,1898–1914,"[""Right""]","[""Right""]","[""2× World Series Champion (1907, 1908)""]",9/9/1876,9/15/1924,Frank Leroy Chance,Peerless Leader,1946,First baseman and manager of Cubs' early dynasty.,Part of the legendary 'Tinker to Evers to Chance' double play trio.
Happy,Chandler,[],[],Commissioner of Baseball,American,Caucasian,1945–1951 (Commissioner),[],[],[],7/14/1898,6/15/1991,Albert Benjamin Chandler,Happy,1982,Second Commissioner of Baseball; oversaw integration of MLB with Jackie Robinson's debut.,Remembered for integrity and fairness in a pivotal time for the sport.
Oscar,Charleston,"[""Indianapolis ABCs"", ""Pittsburgh Crawfords"", ""Harrisburg Giants"", ""Hilldale Club""]","[""Indianapolis ABCs""]",Center Fielder / Manager,American,African American,1915–1941 (Negro Leagues),"[""Left""]","[""Left""]",[],10/14/1896,10/5/1954,Oscar McKinley Charleston,,1976,Considered one of the greatest all-around players in baseball history.,"Combined power, speed, and defense in the Negro Leagues for over two decades."
Jack,Chesbro,"[""Pittsburgh Pirates"", ""New York Highlanders (Yankees)"", ""Boston Red Sox""]","[""New York Highlanders""]",Pitcher,American,Caucasian,1899–1909,"[""Right""]","[""Right""]",[],6/5/1874,11/6/1931,John Dwight Chesbro,Happy Jack,1946,Holds the modern-era record with 41 wins in a single season (1904).,One of the dominant pitchers of early 20th century baseball.
Nestor,Chylak,[],[],Umpire,American,Caucasian,1954–1978,[],[],[],5/11/1922,2/17/1982,Nestor George Chylak Jr.,,1999,Respected umpire in the American League for over two decades.,Worked five World Series and several All-Star Games.
Fred,Clarke,"[""Louisville Colonels"", ""Pittsburgh Pirates""]","[""Pittsburgh Pirates""]",Left Fielder / Manager,American,Caucasian,1894–1915,"[""Left""]","[""Right""]","[""1909 World Series Champion""]",10/3/1872,8/14/1960,Frederick Clifford Clarke,,1945,Player-manager who led the Pirates to their first championship.,"Amassed over 2,600 hits and was one of the game's earliest stars."
John,Clarkson,"[""Worcester Ruby Legs"", ""Chicago White Stockings"", ""Boston Beaneaters"", ""Cleveland Spiders""]","[""Boston Beaneaters""]",Pitcher,American,Caucasian,1882–1894,"[""Right""]","[""Right""]",[],7/1/1861,2/4/1909,John Gibson Clarkson,,1963,One of the dominant pitchers of 19th-century baseball with 328 career wins.,"Known for control, durability, and leading multiple teams to success."
Roberto,Clemente,"[""Pittsburgh Pirates""]","[""Pittsburgh Pirates""]",Right Fielder,Puerto Rican,Latino,1955–1972,"[""Right""]","[""Right""]","[""15× All-Star"", ""12× Gold Glove"", ""4× Batting Champion"", ""1966 NL MVP"", ""1971 World Series MVP"", ""2× World Series Champion""]",8/18/1934,12/31/1972,Roberto Enrique Clemente Walker,,1973,Legendary player and humanitarian who died in a plane crash delivering aid.,First Latin American and Caribbean player inducted into the Hall of Fame.
Ty,Cobb,"[""Detroit Tigers"", ""Philadelphia Athletics""]","[""Detroit Tigers""]",Outfielder,American,Caucasian,1905–1928,"[""Left""]","[""Right""]","[""12× AL Batting Champion"", ""1909 AL MVP""]",12/18/1886,7/17/1961,Tyrus Raymond Cobb,The Georgia Peach,1936,One of the greatest hitters in baseball history with a lifetime .366 average.,Member of the Hall of Fame's inaugural class in 1936.
Mickey,Cochrane,"[""Philadelphia Athletics"", ""Detroit Tigers""]","[""Philadelphia Athletics""]",Catcher,American,Caucasian,1925–1937,"[""Left""]","[""Right""]","[""2× AL MVP"", ""3× World Series Champion""]",4/6/1903,6/28/1962,Gordon Stanley Cochrane,Black Mike,1947,One of the finest catchers of the early 20th century.,Helped lead both the A's and Tigers to multiple World Series victories.
Eddie,Collins,"[""Philadelphia Athletics"", ""Chicago White Sox""]","[""Philadelphia Athletics""]",Second Baseman,American,Caucasian,1906–1930,"[""Left""]","[""Right""]","[""6× World Series Champion"", ""1914 AL MVP""]",5/2/1887,3/25/1951,Edward Trowbridge Collins Sr.,Cocky,1939,"One of the greatest second basemen in baseball history with over 3,300 hits.",Star of both the Athletics and the White Sox.
Jimmy,Collins,"[""Boston Americans"", ""Boston Beaneaters""]","[""Boston Americans""]",Third Baseman / Manager,American,Caucasian,1895–1908,"[""Right""]","[""Right""]","[""1903 World Series Champion (as player-manager)""]",1/16/1870,3/6/1943,James Joseph Collins,,1945,First great third baseman in baseball history.,Led the Boston Americans to the first-ever World Series title.
Earle,Combs,"[""New York Yankees""]","[""New York Yankees""]",Center Fielder,American,Caucasian,1924–1935,"[""Left""]","[""Right""]","[""3× World Series Champion""]",5/14/1899,7/21/1976,Earle Bryan Combs,The Kentucky Colonel,1970,Lead-off hitter for the legendary 1927 Yankees 'Murderers' Row'.,"Known for consistency, speed, and defense in center field."
Charlie,Comiskey,"[""St. Louis Browns"", ""Chicago White Sox""]","[""Chicago White Sox""]",First Baseman / Manager / Owner,American,Caucasian,1882–1931,"[""Right""]","[""Right""]","[""World Series Champion (1906, as owner)""]",8/15/1859,10/26/1931,Charles Albert Comiskey,The Old Roman,1939,"Influential figure in early baseball as player, manager, and owner.",Founder of the Chicago White Sox and key builder of early AL baseball.
Jocko,Conlan,[],[],Umpire,American,Caucasian,1941–1964 (NL Umpire),[],[],[],12/6/1899,4/16/1989,John Bertrand Conlan,Jocko,1974,One of the most respected umpires in National League history.,Umpired five World Series and known for his animated style.
Tom,Connolly,[],[],Umpire,British-American,Caucasian,1898–1931 (AL Umpire),[],[],[],12/31/1870,4/28/1961,Thomas Henry Connolly,,1953,One of the first two umpires inducted into the Hall of Fame.,Officiated in multiple World Series and helped establish umpiring standards.
Roger,Connor,"[""Troy Trojans"", ""New York Gothams (Giants)"", ""Philadelphia Phillies"", ""St. Louis Browns""]","[""New York Gothams""]",First Baseman,American,Caucasian,1880–1897,"[""Left""]","[""Right""]",[],7/1/1857,1/4/1931,Roger Connor,,1976,"The original home run king before Babe Ruth, with 138 career homers.",Known for his power and fielding in the 19th century.
Andy,Cooper,"[""Detroit Stars"", ""Kansas City Monarchs""]","[""Kansas City Monarchs""]",Pitcher / Manager,American,African American,1920–1939 (Negro Leagues),"[""Switch""]","[""Left""]",[],4/24/1898,6/3/1941,Andrew Lewis Cooper,,2006,One of the top Negro League pitchers known for control and durability.,Later became a successful manager for the Monarchs.
Stan,Coveleski,"[""Philadelphia Athletics"", ""Cleveland Indians"", ""Washington Senators"", ""New York Yankees""]","[""Cleveland Indians""]",Pitcher,American,Caucasian,1912–1928,"[""Right""]","[""Right""]","[""1920 World Series Champion""]",7/13/1889,3/20/1984,Stanley Anthony Coveleski,,1969,Known for his masterful spitball and complete game dominance.,Starred in Cleveland's first World Series win.
Bobby,Cox,"[""Atlanta Braves"", ""Toronto Blue Jays""]","[""Atlanta Braves""]",Manager,American,Caucasian,1978–2010,[],[],"[""4× Manager of the Year"", ""1995 World Series Champion""]",5/21/1941,,Robert Joseph Cox,,2014,Guided the Braves to 14 consecutive division titles.,Most ejections in MLB history—respected for loyalty to his players.
Sam,Crawford,"[""Cincinnati Reds"", ""Detroit Tigers""]","[""Detroit Tigers""]",Outfielder,American,Caucasian,1899–1917,"[""Left""]","[""Right""]",[],4/18/1880,6/15/1968,Samuel Earl Crawford,Wahoo Sam,1957,MLB's all-time leader in career triples.,Powerful hitter and cornerstone of early Tigers teams.
Joe,Cronin,"[""Pittsburgh Pirates"", ""Washington Senators"", ""Boston Red Sox""]","[""Boston Red Sox""]",Shortstop / Manager / Executive,American,Caucasian,1926–1945,"[""Right""]","[""Right""]",[],10/12/1906,9/7/1984,Joseph Edward Cronin,,1956,Seven-time All-Star and respected manager and GM.,Key figure in Red Sox history both on and off the field.
Candy,Cummings,"[""Brooklyn Atlantics"", ""Hartford Dark Blues""]","[""Hartford Dark Blues""]",Pitcher,American,Caucasian,1872–1877,[],[],[],10/18/1848,5/16/1924,William Arthur Cummings,Candy,1939,Credited with inventing the curveball.,Pioneer of early baseball innovation.
